SequentialBlockV_3,512,218026400
ParallelBlockV_4,512,59287100
NaivOnArray,256,22817600
NaivLoopUnrollingTwo,256,24612400
NaivLoopUnrollingFour,256,23519600
WinogradOriginal,256,21753200
WinogradScaled,256,20093700
StrassenNaiv,256,19311100
StrassenWinograd,256,18419300
SequentialBlockIII_3,256,22497200
ParallelBlockIII_4,256,14977900
EnhancedParallelBlockIII_5,256,9922400
SequentialBlockIV_3,256,24224800
ParallelBlockIV_4,256,12218100
EnhancedParallelBlockIV_5,256,19102000
SequentialBlockV_3,256,31039100
ParallelBlockV_4,256,20317100
NaivOnArray,512,192665000
NaivLoopUnrollingTwo,512,158819000
NaivLoopUnrollingFour,512,140625700
WinogradOriginal,512,167875500
WinogradScaled,512,173812500
StrassenNaiv,512,99701800
StrassenWinograd,512,104496400
SequentialBlockIII_3,512,163553100
ParallelBlockIII_4,512,28733900
EnhancedParallelBlockIII_5,512,25302300
SequentialBlockIV_3,512,174284300
ParallelBlockIV_4,512,24172300
EnhancedParallelBlockIV_5,512,28155400
SequentialBlockV_3,512,207320000
ParallelBlockV_4,512,55355300
NaivOnArray,256,25837500
NaivLoopUnrollingTwo,256,22221800
NaivLoopUnrollingFour,256,22405000
WinogradOriginal,256,25129100
WinogradScaled,256,22617700
StrassenNaiv,256,19205000
StrassenWinograd,256,25672700
SequentialBlockIII_3,256,42212700
ParallelBlockIII_4,256,18632600
EnhancedParallelBlockIII_5,256,12366400
SequentialBlockIV_3,256,28213700
ParallelBlockIV_4,256,15805600
EnhancedParallelBlockIV_5,256,16161000
SequentialBlockV_3,256,32183500
ParallelBlockV_4,256,19486200
NaivOnArray,512,198493400
NaivLoopUnrollingTwo,512,184355600
NaivLoopUnrollingFour,512,153197500
WinogradOriginal,512,181292800
WinogradScaled,512,210084300
StrassenNaiv,512,143659800
StrassenWinograd,512,173309100
SequentialBlockIII_3,512,363556200
ParallelBlockIII_4,512,48648500
EnhancedParallelBlockIII_5,512,31724200
SequentialBlockIV_3,512,250977600
ParallelBlockIV_4,512,38432400
EnhancedParallelBlockIV_5,512,33539300
SequentialBlockV_3,512,325528300
ParallelBlockV_4,512,66841700
NaivOnArray,256,23413700
NaivLoopUnrollingTwo,256,20047100
NaivLoopUnrollingFour,256,24578400
WinogradOriginal,256,25525900
WinogradScaled,256,18902200
StrassenNaiv,256,18040200
StrassenWinograd,256,18692400
SequentialBlockIII_3,256,23331700
ParallelBlockIII_4,256,13557200
EnhancedParallelBlockIII_5,256,10281000
SequentialBlockIV_3,256,24736500
ParallelBlockIV_4,256,14378900
EnhancedParallelBlockIV_5,256,15653900
SequentialBlockV_3,256,31659900
ParallelBlockV_4,256,16188200
NaivOnArray,512,214819700
NaivLoopUnrollingTwo,512,178946400
NaivLoopUnrollingFour,512,140074500
WinogradOriginal,512,159177200
WinogradScaled,512,169316600
StrassenNaiv,512,108697000
StrassenWinograd,512,105774800
SequentialBlockIII_3,512,125079700
ParallelBlockIII_4,512,29963600
EnhancedParallelBlockIII_5,512,23343800
SequentialBlockIV_3,512,117969700
ParallelBlockIV_4,512,24393200
EnhancedParallelBlockIV_5,512,25738500
SequentialBlockV_3,512,254009400
ParallelBlockV_4,512,58583700
